,0,1,2,3,4,5
165,1, 39.9 , 6,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_39.9_m_610_et._1856024546,3189000,2 
166,0.5, 33 , 2,https://www.avito.ru/kazan/kvartiry/studiya_33_m_219_et._1889225635,2890000,2
167,1, 38.6 , 2,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_38.6_m_29_et._1944743865,3200000,2 
168,1, 38 , 1,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_38_m_19_et._1924079717,2799000,2
169,2, 72.3 , 18,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_72.3_m_1823_et._1899145549,7700000,3 
170,2, 62 , 16,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_62_m_1618_et._1834299531,6100000,2 
171,1, 17 , 5,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_17_m_55_et._1863292753,1660000,2
172,2, 43 , 2,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_43_m_25_et._1932385175,3050000,3
173,3, 58 , 4,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_58_m_49_et._1900288032,4850000,3
174,1, 35 , 8,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_35_m_810_et._1777877651,2970000,2
175,1, 40 , 9,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_40_m_919_et._1860748598,4200000,2
176,2, 79 , 2,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_79_m_29_et._1924894105,7050000,3
177,1, 16 , 9,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_16_m_910_et._1887777234,1540000,1 
178,3, 82 , 7,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_82_m_710_et._1777506942,6100000,2
179,3, 107 , 2,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_107_m_210_et._1809338460,7840000,2
180,3, 78.5 , 2,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_78.5_m_27_et._1892325235,7050000,3
181,2, 65 , 12,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_65_m_1222_et._1914230763,6500000,3 
182,2, 68 , 7,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_68_m_79_et._1874743311,4999999,2
183,2, 41.3 , 9,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_41.3_m_99_et._1936706491,2810000,2
184,2, 93 , 3,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_93_m_310_et._1722416171,5399999,2
185,2, 55.2 , 3,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_55.2_m_318_et._1870184936,6300000,2 
186,2, 44.5 , 4,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_44.5_m_419_et._1935570806,3499000,2
187,1, 18 , 2,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_18_m_25_et._1895170064,1450000,3 
188,1, 38 , 2,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_38_m_210_et._1920312085,4950000,2
189,2, 43 , 7,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_43_m_79_et._1949809489,2600000,3 
190,0.5, 24 , 3,https://www.avito.ru/kazan/kvartiry/studiya_24_m_35_et._1945688167,1050000,2
191,2, 45.6 , 1,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_45.6_m_15_et._1891346504,2998000,1 
192,3, 96 , 3,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_96_m_316_et._1942490475,11200000,3 
193,2, 65 , 11,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_65_m_1119_et._1939578275,5200000,2 
194,1, 17 , 3,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_17_m_35_et._1898395502,1559000,3
195,1, 33.5 , 2,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_33.5_m_210_et._1905601979,2950000,2
196,2, 52.6 , 2,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_52.6_m_210_et._1905082155,3900000,2
197,1, 26.1 , 3,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_26.1_m_319_et._1905553393,2610000,2
