"1; 39.1 ; 17";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_39.1_m_1719_et._1923740856;2681000;2
"1; 40.1 ; 19";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_40.1_m_1919_et._1923349143;2447000;2
"3; 82.9 ; 10";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_82.9_m_1010_et._1866118496;5500000;2
"1; 45.6 ; 5";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_45.6_m_55_et._1922950398;3622000;2
"3; 78 ; 8";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_78_m_818_et._1865961300;7300000;3
"2; 43 ; 4";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_43_m_45_et._1915494972;3130000;2 
"1; 36.8 ; 8";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_36.8_m_810_et._1831473244;3200000;2 
"3; 102 ; 11";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_102_m_1118_et._1890822074;6770000;3 
"2; 44.5 ; 17";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_44.5_m_1719_et._1903987866;2520000;2
"3; 66.8 ; 17";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_66.8_m_1725_et._1904278803;3857000;1
"2; 54.3 ; 8";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_54.3_m_819_et._1872748168;3276000;2
"2; 80.4 ; 15";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_80.4_m_1518_et._1529678365;12200000;3
"1; 39.5 ; 8";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_39.5_m_816_et._1927612453;3870000;2 
"3; 89 ; 3";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_89_m_35_et._1946199706;6020000;2
"1; 41 ; 16";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_41_m_1621_et._1909676420;4150000;3 
"3; 73.1 ; 14";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_73.1_m_1419_et._1916077427;4529720;2
"1; 30 ; 4";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_30_m_45_et._1912572188;1850000;1
"1; 44.8 ; 11";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_44.8_m_1115_et._1914031232;6828809;3 
"1; 41.5 ; 3";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_41.5_m_319_et._1889456303;3450000;2
"3; 178 ; 13";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_178_m_1337_et._1932798591;9500000;2
"1; 23 ; 1";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_23_m_15_et._1887610130;1420000;1
"2; 53.3 ; 6";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_53.3_m_610_et._1905135831;4499000;3 
"2; 60 ; 7";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_60_m_722_et._1845320385;11500000;3
"1; 42 ; 19";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_42_m_1920_et._1927178787;3899000;2
"3; 63 ; 9";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_63_m_99_et._1924934083;4050000;2
"1; 31.5 ; 14";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_31.5_m_1419_et._1939535975;2300000;2
"4; 110 ; 9";https://www.avito.ru/kazan/kvartiry/4-k_kvartira_110_m_910_et._1860997190;6950000;2
"1; 32 ; 10";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_32_m_1019_et._1924669191;3650000;3 
"2; 44 ; 1";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_44_m_15_et._723513521;2900000;1
"1; 53 ; 5";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_53_m_525_et._1769932480;4550000;3
"2; 45 ; 9";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_45_m_919_et._1940606280;2680000;2
"1; 35 ; 9";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_35_m_919_et._1924733284;3580000;3 
"1; 36 ; 7";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_36_m_719_et._1928712411;4080000;2 
"2; 52 ; 6";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_52_m_69_et._1938253501;3700000;2 
"1; 34 ; 3";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_34_m_310_et._1918563386;3500000;2
"1; 40.3 ; 10";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_40.3_m_1010_et._1947581533;3350000;2
"1; 38 ; 7";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_38_m_79_et._1862331310;2800000;3
"2; 51.2 ; 12";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_51.2_m_1219_et._1940065916;3010000;2
"2; 50 ; 5";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_50_m_55_et._1907973593;4200000;3 
"2; 54 ; 10";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_54_m_1011_et._1838915761;4270000;2
"1; 20 ; 6";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_20_m_69_et._1926787454;2170000;3
"3; 84 ; 6";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_84_m_67_et._1933374030;5100000;2 
"2; 19 ; 3";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_19_m_35_et._1944873019;1849999;3
"1; 40 ; 3";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_40_m_318_et._1924364411;3900000;3 
"2; 60 ; 17";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_60_m_1721_et._1888699039;4613268;2 
"4; 131 ; 4";https://www.avito.ru/kazan/kvartiry/4-k_kvartira_131_m_425_et._1759282236;7390000;3
"2; 43 ; 2";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_43_m_25_et._1927686409;3490000;3 
"2; 46 ; 2";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_46_m_25_et._1928698993;3200000;2 
"2; 62 ; 5";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_62_m_518_et._1927857527;3750000;1
"1; 19 ; 5";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_19_m_56_et._1838816502;1150000;1
"3; 72.8 ; 5";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_72.8_m_55_et._1929140364;4800000;2
"3; 72 ; 3";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_72_m_319_et._1946260729;3579999;2
"3; 68 ; 3";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_68_m_39_et._1947102192;4600000;2
"2; 45 ; 5";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_45_m_55_et._1947739503;3199000;3 
"3; 65.6 ; 8";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_65.6_m_89_et._1860266534;4199000;2 
"2; 44 ; 4";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_44_m_46_et._1924675981;3800000;2
"2; 50 ; 2";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_50_m_25_et._1947583791;4450000;1 
"0.5; 32 ; 8";https://www.avito.ru/kazan/kvartiry/studiya_32_m_819_et._1887792471;3000000;2
"1; 25 ; 1";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_25_m_113_et._1936461612;2100000;3 
"3; 60 ; 1";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_60_m_15_et._1838423030;3799000;2
"1; 38.6 ; 8";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_38.6_m_819_et._1919606632;3900000;3
"1; 17 ; 4";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_17_m_45_et._1934879522;1250000;3
"3; 98 ; 11";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_98_m_1120_et._1915419551;7250000;2 
"2; 68 ; 3";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_68_m_39_et._1826733510;6350000;2
"3; 73 ; 12";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_73_m_1219_et._1940062659;4530000;2
"5; 80 ; 8";https://www.avito.ru/kazan/kvartiry/5-k_kvartira_80_m_810_et._1934854816;5500000;2
"1; 37.9 ; 3";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_37.9_m_34_et._1937535136;1899000;2
"3; 99 ; 6";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_99_m_610_et._1616509186;7299000;2 
"1; 37 ; 5";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_37_m_510_et._1585549747;4900000;2
"2; 40 ; 14";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_40_m_1416_et._1894025920;4570000;2 
"3; 71 ; 8";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_71_m_819_et._1946665955;3599999;2
"1; 40 ; 18";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_40_m_1823_et._1894692393;3900000;3
"1; 35.3 ; 16";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_35.3_m_1619_et._1709225095;3496000;2 
"1; 37 ; 1";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_37_m_19_et._1925149886;2980000;2
"1; 35.9 ; 8";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_35.9_m_825_et._1920547794;2266352;1
"1; 41 ; 9";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_41_m_918_et._1199891024;3490000;2 
"1; 13.5 ; 2";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_13.5_m_25_et._1927463498;1250000;2
"2; 62.6 ; 5";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_62.6_m_525_et._1887981115;6511554;3 
"4; 100.9 ; 10";https://www.avito.ru/kazan/kvartiry/4-k_kvartira_100.9_m_1011_et._1924766692;6200000;2
"1; 49 ; 7";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_49_m_716_et._1939041865;4080000;3 
"3; 108 ; 3";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_108_m_34_et._1777226853;9900000;4 
